,sso_name,sso_number
13918,2002 EZ60,195269.0
117105,2002 CS273,195188.0
5991,2000 QU176,51350.0
105845,2009 SB360,257409.0
70374,1996 RY30,241582.0
2772,2004 HS1,116954.0
37038,2000 AL8,190446.0
120441,2008 RV125,263816.0
5733,Dolios,10989.0
69736,2000 QY151,32370.0
1048,2003 GX7,114710.0
87288,1996 TA58,160534.0
98755,2001 DH29,42201.0
8457,2000 QX158,51346.0
43028,2005 WN57,187436.0
42374,1997 TW28,39798.0
112827,2001 CP29,42182.0
39050,2001 AE51,107134.0
73793,1978 VC7,39474.0
78365,2000 TU44,106143.0
116032,Telephus,5264.0
5239,2002 CZ144,89872.0
64321,Demoleon,18493.0
127854,2002 CT111,191060.0
114935,Charops,16070.0
30750,Antimachos,9828.0
65146,Askalaphus,4946.0
67753,1999 XY129,18058.0
35655,1998 WJ15,101466.0
94190,2012 SA1,379972.0
76181,2009 SH333,343174.0
68849,1998 YP6,23970.0
92915,Pandarus,2674.0
42013,Epeios,2148.0
114336,2001 DH42,139009.0
35193,2000 AU242,275618.0
113879,Oloosson,5209.0
124336,2001 CC49,63272.0
68384,2009 TD16,264121.0
135,2000 SG53,98139.0
54117,2002 EQ151,163238.0
9398,2001 BE24,39280.0
38920,2002 EY106,195309.0
9851,Podalirius,4086.0
1263,2000 QU167,24452.0
125102,2009 UL2,233925.0
8148,2000 RJ24,122581.0
126919,2000 AN6,38607.0
86395,1997 TD28,21371.0
78828,2008 QX5,263792.0
107043,2001 BS15,24506.0
65644,2009 TO25,296738.0
126716,Agapenor,5023.0
12837,2000 QV65,97893.0
98266,Dolon,7815.0
105346,2002 CY21,159633.0
92694,2002 EM157,163240.0
37389,2002 CL218,280072.0
127553,1988 RY11,30791.0
118757,Asios,11554.0
34924,Irus,13387.0
118633,1999 WS4,38574.0
91952,1988 SJ2,120454.0
115808,2007 XU3,190268.0
100348,2003 EG63,220318.0
67015,Philoctetes,1869.0
22844,Stichius,65210.0
99282,1998 WY8,23963.0
21937,Pheidas,23135.0
64567,2000 SZ344,54652.0
65522,Hyperenor,18228.0
73970,2001 CZ10,257967.0
107990,2001 BT31,205380.0
12862,2002 FR4,89938.0
115255,Sinon,3391.0
122222,2000 AU57,23123.0
119084,2002 AW34,55563.0
10072,1991 EJ,13060.0
11667,Rhene,9807.0
13042,1996 RN31,37715.0
125848,2008 RJ27,225213.0
76666,2004 GE29,116930.0
48600,2001 QU277,32615.0
491,2009 SA271,266791.0
76365,2000 AW183,38619.0
51814,1996 TZ36,100475.0
126474,Pheidippos,17351.0
123532,1997 TK18,39797.0
83486,2001 SC101,99306.0
34730,2008 QS47,305544.0
7475,1999 YO22,24312.0
43639,2007 VX2,315368.0
102732,2008 SJ253,295634.0
115617,2004 JX35,144840.0
124784,2002 EK106,195308.0
24112,2000 SY55,153107.0
77478,2008 SX107,202824.0
124031,Ascanios,12649.0
94565,1999 XY187,18062.0
90830,1999 NA38,18037.0
